Type,Datum,Tagesertrag,Einsparung,Netzeinspeisung,Eigenverbrauch Elektrolyseur,Eigenverbrauch Batterie,Produktionsrate,Wassernutzung,Energieverbrauch,EL-Tank,SoC,Leistung,Tankstellen-ID,Startzeit,Endzeit,Fahrzeugkennzeichen
PV-Anlage,01.01.2024 00:00:00,55.82,1,43.7,4.44,7.68,1312.83,3999.54,29.65,639,5,-1935.05,,,,
Tankvorgang,,,,,,,,,,,,,84,2024-01-01 00:00:00,,HWA-2858
Tankvorgang,,,,,,,,,,,,,57,2024-01-01 00:00:00,,ZSX-3203
Tankvorgang,,,,,,,,,,,,,76,2024-01-01 00:00:00,,JMX-2954
Tankvorgang,,,,,,,,,,,,,8,2024-04-06 13:31:35,2024-01-01 00:17:00,ZMJ-0539
Tankvorgang,,,,,,,,,,,,,37,2024-04-06 13:31:35,2024-01-01 00:24:00,QTB-5707
Tankvorgang,,,,,,,,,,,,,6,2024-04-06 13:31:35,2024-01-01 00:21:00,MWU-8086
PV-Anlage,01.01.2024 01:00:00,94.63,2,60.26,33.35,1.02,294.56,611.9,87.18,953,17,-1700.24,,,,
PV-Anlage,01.01.2024 02:00:00,88.23,3,54.97,26.14,7.12,1510.51,1768.97,58.56,533,54,-1611.97,,,,
Tankvorgang,,,,,,,,,,,,,40,2024-01-01 02:00:00,,GWC-8977
Tankvorgang,,,,,,,,,,,,,42,2024-01-01 02:00:00,,NUP-0117
Tankvorgang,,,,,,,,,,,,,28,2024-01-01 02:00:00,,UAX-9187
Tankvorgang,,,,,,,,,,,,,99,2024-01-01 02:00:00,,VQD-7984
Tankvorgang,,,,,,,,,,,,,63,2024-01-01 02:00:00,,ZYL-5959
Tankvorgang,,,,,,,,,,,,,28,2024-04-06 13:31:35,2024-01-01 02:11:00,IBR-0280
Tankvorgang,,,,,,,,,,,,,55,2024-04-06 13:31:35,2024-01-01 02:30:00,VMY-6464
Tankvorgang,,,,,,,,,,,,,32,2024-04-06 13:31:35,2024-01-01 02:14:00,SQS-2506
Tankvorgang,,,,,,,,,,,,,58,2024-04-06 13:31:35,2024-01-01 02:11:00,WZF-2257
Tankvorgang,,,,,,,,,,,,,65,2024-04-06 13:31:35,2024-01-01 02:14:00,MKI-2458
PV-Anlage,01.01.2024 03:00:00,53.51,4,34.84,10.44,8.23,420.99,509.46,89.87,918,63,106.25,,,,
Tankvorgang,,,,,,,,,,,,,92,2024-01-01 03:00:00,,FGO-4821
Tankvorgang,,,,,,,,,,,,,96,2024-04-06 13:31:35,2024-01-01 03:27:00,SHM-5431
PV-Anlage,01.01.2024 04:00:00,60.0,5,7.19,20.81,32.0,254.25,3384.27,70.16,485,62,-1076.61,,,,
Tankvorgang,,,,,,,,,,,,,72,2024-01-01 04:00:00,,VLR-6931
Tankvorgang,,,,,,,,,,,,,84,2024-01-01 04:00:00,,CKP-4387
Tankvorgang,,,,,,,,,,,,,71,2024-01-01 04:00:00,,TWC-1345
Tankvorgang,,,,,,,,,,,,,43,2024-01-01 04:00:00,,QVV-6007
Tankvorgang,,,,,,,,,,,,,27,2024-01-01 04:00:00,,QEB-3909
Tankvorgang,,,,,,,,,,,,,58,2024-04-06 13:31:35,2024-01-01 04:30:00,LAH-6476
Tankvorgang,,,,,,,,,,,,,50,2024-04-06 13:31:35,2024-01-01 04:15:00,AQW-2889
Tankvorgang,,,,,,,,,,,,,67,2024-04-06 13:31:35,2024-01-01 04:13:00,WLH-4004
Tankvorgang,,,,,,,,,,,,,100,2024-04-06 13:31:35,2024-01-01 04:26:00,OQZ-2102
