Tankstellen-ID,Startzeit,Endzeit,Fahrzeugkennzeichen
76,2024-04-06 14:30:17,,JIB-7229
48,2024-04-06 14:30:17,,NMG-9165
32,2024-04-06 14:30:17,,NJC-7979
91,2024-04-06 14:30:17,,MPQ-5850
31,2024-04-06 14:30:17,,MUQ-2515
47,2024-04-06 14:30:17,,PKM-6726
94,2024-04-06 14:30:17,,RIF-8862
81,2024-04-06 14:30:17,,LAY-6239
11,2024-04-06 14:30:17,,VHJ-7679
58,2024-04-06 14:30:17,,QPC-9922
8,2024-04-06 14:30:17,,SFX-4653
57,2024-04-06 14:30:17,,RUJ-6335
83,2024-04-06 14:30:17,,HLO-8516
14,2024-04-06 14:30:17,,WKE-7195
45,2024-04-06 14:30:17,,ANL-7800
57,2024-04-06 14:30:17,,RDT-3125
23,2024-04-06 14:30:17,,YVE-5712
92,2024-04-06 14:30:17,,CPB-3956
85,2024-04-06 14:30:17,,AUY-6245
30,2024-04-06 14:30:17,,BVT-7450
63,2024-04-06 14:30:17,,KQT-0694
60,2024-04-06 14:30:17,,GCJ-9184
92,2024-04-06 14:30:17,,RWK-8580
22,2024-04-06 14:30:17,,LUT-0827
79,2024-04-06 14:30:17,,CMH-6453
40,2024-04-06 14:30:17,,LXV-2285
6,2024-04-06 14:30:17,,LGH-9440
76,2024-04-06 14:30:17,,JBA-6313
79,2024-04-06 14:30:17,,KVX-0252
26,2024-04-06 14:30:17,,HLZ-8707
16,2024-04-06 14:30:17,,KII-0859
11,2024-04-06 14:30:17,,YPF-0968
50,2024-04-06 14:30:17,,GWM-9853
43,2024-04-06 14:30:17,,BLC-6608
90,2024-04-06 14:30:17,,AFU-3953
28,2024-04-06 14:30:17,,CCD-6133
52,2024-04-06 14:30:17,,ZBO-4850
84,2024-04-06 14:30:17,,SWZ-2036
34,2024-04-06 14:30:17,,ALW-4576
48,2024-04-06 14:30:17,,ARN-1305
31,2024-04-06 14:30:17,,XKY-7694
34,2024-04-06 14:30:17,,IVA-7103
23,2024-04-06 14:30:17,,DAN-7910
36,2024-04-06 14:30:17,,HUR-6866
100,2024-04-06 14:30:17,,RKH-2090
24,2024-04-06 14:30:17,,VBR-1453
22,2024-04-06 14:30:17,,OSK-8074
79,2024-04-06 14:30:17,,MJB-8592
6,2024-04-06 14:30:17,,LSH-6106
30,2024-04-06 14:30:17,,GLH-1066
18,2024-04-06 14:30:17,,YBO-5934
66,2024-04-06 14:30:17,,KSK-8852
45,2024-04-06 14:30:17,,BEU-5966
92,2024-04-06 14:30:17,,FHT-2035
97,2024-04-06 14:30:17,,GIZ-2614
16,2024-04-06 14:30:17,,FAE-5068
42,2024-04-06 14:30:17,,CWN-5131
75,2024-04-06 14:30:17,,PPB-9570
51,2024-04-06 14:30:17,,GPS-7806
18,2024-04-06 14:30:17,,EUT-8073
90,2024-04-06 14:30:17,,JWY-6758
67,2024-04-06 14:30:17,,WKP-2723
21,2024-04-06 14:30:17,,BDH-5706
41,2024-04-06 14:30:17,,BJM-3799
94,2024-04-06 14:30:17,,MUL-2094
67,2024-04-06 14:30:17,,XXY-1442
19,2024-04-06 14:30:17,,CBZ-8223
17,2024-04-06 14:30:17,,BUT-3605
33,2024-04-06 14:30:17,,CHU-3708
84,2024-04-06 14:30:17,,XFD-9836
62,2024-04-06 14:30:17,,GRB-9885
