Type,Datum,Tagesertrag,Einsparung,Netzeinspeisung,Eigenverbrauch Elektrolyseur,Eigenverbrauch Batterie,Produktionsrate,Wassernutzung,Energieverbrauch,EL-Tank,EL-Tank2,SoC,Leistung,Reichweite Elektroautos
PV-Anlage,01.01.2024 00:00:00,89.06,1,34.87,45.01,9.18,725.57,2705.23,82.42,88,736,46,1331.61,368.44
PV-Anlage,01.01.2024 01:00:00,60.91,2,59.49,1.37,0.05,1974.65,1118.23,8.06,31,963,20,-915.11,316.96
PV-Anlage,01.01.2024 02:00:00,46.38,3,35.09,1.88,9.41,1441.06,1026.6,36.35,18,952,83,-1720.69,324.99
PV-Anlage,01.01.2024 03:00:00,40.1,4,19.21,3.05,17.84,421.64,570.77,95.08,91,243,51,-45.84,374.45
PV-Anlage,01.01.2024 04:00:00,93.88,5,53.19,21.45,19.24,1767.98,3920.89,69.86,11,308,43,-285.17,187.21
PV-Anlage,01.01.2024 05:00:00,71.73,6,38.91,18.67,14.15,1686.81,1336.31,63.68,5,656,85,-276.66,378.1
PV-Anlage,01.01.2024 06:00:00,61.39,7,48.04,12.09,1.26,610.46,624.69,4.28,2,429,11,1546.07,213.6
PV-Anlage,01.01.2024 07:00:00,35.02,8,2.26,21.52,11.24,287.72,3798.78,17.17,53,285,8,-1329.38,199.92
PV-Anlage,01.01.2024 08:00:00,12.03,9,0.0,4.06,7.97,1724.04,3682.15,12.07,47,350,60,-608.42,314.63
PV-Anlage,01.01.2024 09:00:00,2.27,10,0.54,1.73,0.0,630.32,24.36,42.71,75,164,79,1531.96,102.99
PV-Anlage,01.01.2024 10:00:00,42.58,11,41.13,0.78,0.67,882.5,3083.85,28.69,47,174,93,-1973.81,323.29
PV-Anlage,01.01.2024 11:00:00,40.6,12,8.72,30.42,1.46,1750.46,3911.78,48.53,73,25,100,1969.25,64.98
PV-Anlage,01.01.2024 12:00:00,1.44,13,1.12,0.18,0.14,855.65,563.81,92.71,50,580,44,-998.21,261.44
PV-Anlage,01.01.2024 13:00:00,16.46,14,5.6,8.31,2.55,923.88,2660.94,82.13,37,205,14,-507.17,262.83
PV-Anlage,01.01.2024 14:00:00,8.55,15,1.23,2.43,4.89,1500.53,3103.52,16.18,84,732,73,89.72,156.25
PV-Anlage,01.01.2024 15:00:00,58.54,16,23.38,18.97,16.19,380.52,2122.55,27.97,23,338,74,1031.91,180.69
PV-Anlage,01.01.2024 16:00:00,17.74,17,15.9,1.28,0.56,779.98,1272.48,91.29,44,670,98,-1317.91,392.5
PV-Anlage,01.01.2024 17:00:00,82.32,18,38.52,15.98,27.82,765.34,2027.52,75.65,97,232,18,36.99,104.93
PV-Anlage,01.01.2024 18:00:00,86.12,19,47.66,15.12,23.34,1824.11,1440.85,31.9,61,818,91,-914.57,368.93
PV-Anlage,01.01.2024 19:00:00,88.65,20,78.55,8.95,1.15,1559.51,3717.98,50.82,71,397,37,1049.01,169.9
PV-Anlage,01.01.2024 20:00:00,48.19,21,35.17,8.45,4.57,1182.19,2937.36,2.12,63,715,20,-259.56,169.7
PV-Anlage,01.01.2024 21:00:00,39.46,22,23.44,7.28,8.74,158.68,1992.94,80.75,93,323,6,-1361.01,429.29
PV-Anlage,01.01.2024 22:00:00,70.34,23,42.58,14.77,12.99,199.62,1522.55,19.98,68,814,80,-352.4,122.97
PV-Anlage,01.01.2024 23:00:00,24.23,24,21.48,2.16,0.59,325.22,3096.17,19.04,2,832,70,1351.45,322.39
PV-Anlage,02.01.2024 00:00:00,35.86,25,19.5,14.46,1.9,364.08,3043.02,24.99,18,455,12,-1696.83,158.6
PV-Anlage,02.01.2024 01:00:00,38.3,26,37.4,0.64,0.26,644.43,3590.57,4.88,73,441,37,1720.21,265.54
PV-Anlage,02.01.2024 02:00:00,28.56,27,18.4,8.31,1.85,439.46,1483.19,28.98,35,728,95,-615.15,164.07
PV-Anlage,02.01.2024 03:00:00,15.63,28,7.46,3.98,4.19,978.24,3212.26,90.31,56,708,46,-968.92,381.81
