Datum,Tagesertrag,Einsparung,Netzeinspeisung,Eigenverbrauch Elektrolyseur,Eigenverbrauch Batterie,Produktionsrate,Wassernutzung,Energieverbrauch,EL-Tank,SoC,Leistung
01.01.2024 12:00:00,71.07,1,5.78,55.17,10.12,978.93,0.6,0.09,531,51,359.2
01.01.2024 12:00:01,79.49,2,5.44,14.93,59.12,629.66,0.65,0.83,998,17,344.1
01.01.2024 12:00:02,44.21,3,43.79,0.26,0.16,952.31,0.15,0.24,980,60,181.4
01.01.2024 12:00:03,6.81,4,4.98,0.5,1.33,343.95,0.27,0.26,703,68,296.1
01.01.2024 12:00:04,7.46,5,2.08,4.17,1.21,930.64,0.82,0.71,6,93,11.3
01.01.2024 12:00:05,67.26,6,29.79,3.91,33.56,998.49,0.06,0.84,943,74,801.7
01.01.2024 12:00:06,48.76,7,31.2,15.38,2.18,100.98,0.01,0.75,853,5,971.9
01.01.2024 12:00:07,76.75,8,14.99,43.77,17.99,701.46,0.79,0.9,924,26,613.7
01.01.2024 12:00:08,98.6,9,62.47,16.21,19.92,933.6,0.22,0.04,240,1,571.9
01.01.2024 12:00:09,51.77,10,0.47,12.8,38.5,449.58,0.81,0.8,967,45,712.8
01.01.2024 12:00:10,49.55,11,23.73,25.21,0.61,610.91,0.63,0.12,507,29,799.9
01.01.2024 12:00:11,93.31,12,51.58,2.66,39.07,819.69,0.28,0.76,530,49,894.4
01.01.2024 12:00:12,52.56,13,43.43,1.38,7.75,783.06,0.25,0.98,432,82,261.8
01.01.2024 12:00:13,57.75,14,2.51,35.17,20.07,367.12,0.39,0.51,958,23,546.9
01.01.2024 12:00:14,92.37,15,47.07,23.63,21.67,257.78,0.95,0.5,387,35,615.8
01.01.2024 12:00:15,78.41,16,13.16,25.4,39.85,294.44,0.53,0.95,462,6,204.5
01.01.2024 12:00:16,35.64,17,2.22,24.18,9.24,877.64,0.33,0.87,554,92,302.4
01.01.2024 12:00:17,74.69,18,62.51,3.02,9.16,31.14,0.59,0.47,568,20,528.0
01.01.2024 12:00:18,21.74,19,14.97,2.93,3.84,78.73,0.57,0.88,174,63,733.3
01.01.2024 12:00:19,46.06,20,43.1,1.88,1.08,792.86,0.04,0.64,642,74,729.4
01.01.2024 12:00:20,25.6,21,2.86,15.82,6.92,43.25,0.88,0.48,133,93,784.7
01.01.2024 12:00:21,5.98,22,4.21,0.77,1.0,329.14,0.5,0.47,405,69,422.1
01.01.2024 12:00:22,27.08,23,25.88,1.12,0.08,361.9,0.63,0.39,816,75,453.6
01.01.2024 12:00:23,92.05,24,0.22,58.97,32.86,903.11,0.07,0.93,538,55,332.3
01.01.2024 12:00:24,62.61,25,53.29,4.75,4.57,29.15,0.07,0.61,980,25,999.1
01.01.2024 12:00:25,20.17,26,12.75,4.09,3.33,734.79,0.7,0.27,278,62,952.2
01.01.2024 12:00:26,10.95,27,8.97,0.68,1.3,820.35,0.34,0.28,602,99,770.1
01.01.2024 12:00:27,0.32,28,0.09,0.19,0.04,362.95,0.08,0.24,826,30,831.3
01.01.2024 12:00:28,73.31,29,26.34,7.77,39.2,208.85,0.44,0.65,818,40,622.9
01.01.2024 12:00:29,74.41,30,45.97,17.65,10.79,598.88,0.49,0.36,16,90,893.4
01.01.2024 12:00:30,13.72,31,11.5,1.45,0.77,882.8,0.42,0.37,749,91,268.0
